Fecha;J;Tmax;Tmin;Rhmax;Rhmin;Uz;Rs;lluvia;Peff;ETo;fc;lluvia_esperada_0_24h;lluvia_esperada_24_48h
9/4/08;100;15,76;10,88;93;67,91;5,26;9,47;19,6;12,06;2,2;0.0386;0,7;0
10/4/08;101;16,77;9,14;86,3;50,12;5,5;14,47;4,2;1,2;3,38;0.04;0;0
11/4/08;102;10,34;2,24;91;58,93;5,57;13,97;0;0;2,23;0.0415;0;0
12/4/08;103;12,61;1,5;94,7;46,1;3,2;17,84;0;0;2,7;0.043;0;0
13/4/08;104;14,82;1,36;90,5;39,05;3,8;22,75;0;0;3,55;0.0446;0,3;0
14/4/08;105;16,02;3,85;92,3;24,02;2,48;25,09;0;0;3,91;0.0463;0;0,3
15/4/08;106;18,36;2,91;78,6;25,62;2,87;24,78;0;0;4,4;0.0481;0;0,6
16/4/08;107;18,9;5,72;84,2;28,71;2,38;20,49;0;0;3,92;0.0499;2,4;0
17/4/08;108;12,47;7,19;90,5;53,82;5,68;15,45;3,8;0,86;2,78;0.0518;8,5;7,5
18/4/08;109;13,28;5,52;89,6;46,03;6,54;20,5;6;2,65;3,42;0.0538;5,7;15
19/4/08;110;11,82;3,51;92;59,93;3,03;7,12;11,4;6,61;1,76;0.0558;7,5;0
20/4/08;111;11,81;5,32;92;62,95;5,36;15,97;9,2;5,06;2,39;0.0578;4;0
21/4/08;112;14,16;6,12;89;47,31;5,82;15,35;0,2;0;3,19;0.0599;0;0
22/4/08;113;15,48;5,05;92,8;46,56;4;21,86;0;0;3,49;0.062;0;0
23/4/08;114;20,91;4,05;92,2;40,25;2,34;23,82;0;0;4,12;0.0642;0;0
24/4/08;115;24,25;6,19;89,6;22,87;1,63;25,87;0;0;4,74;0.0664;0;0
25/4/08;116;24,19;8,06;80,1;25,22;2,06;26,55;0;0;5,11;0.0686;0;0
26/4/08;117;25,79;5,12;86,8;14,35;1,86;27,2;0;0;5,35;0.0708;1;0
27/4/08;118;25,66;6,39;77,4;18,85;1,87;25,33;0;0;5,17;0.0731;0,9;0
28/4/08;119;21,71;6,32;86,7;21,2;3,4;16,38;0;0;4,66;0.0754;0;0
29/4/08;120;20,44;2,1;85,3;22,07;3,2;27,69;0;0;5,17;0.0778;0;0
30/4/08;121;17,43;3,11;86,3;19,72;3,07;27,49;0;0;4,72;0.0802;0;0
1/5/08;122;23,25;2,04;79,5;19,18;3,4;27,69;0;0;5,9;0.0828;0;0
2/5/08;123;23,58;5,79;90,4;27,37;3,6;26,29;0;0;5,6;0.0854;0;0
3/5/08;124;25,39;6,19;62,03;16,43;3,06;25,38;0;0;6,19;0.0883;0;0
4/5/08;125;27,87;8,33;66,31;26,76;1,72;24;0;0;5,21;0.0913;0;0
5/5/08;126;26,67;9,81;78;23,68;1,96;25,92;0;0;5,46;0.0944;0;0
6/5/08;127;25,93;10,68;66,76;24,96;3,52;23,51;0;0;6,22;0.0978;0;12,3
7/5/08;128;18,84;9,61;87,1;54,61;5,21;21,92;0;0;4,04;0.1012;19,6;0,2
8/5/08;129;11,95;9,94;91,7;80,1;3,39;3,32;14,6;8,79;1,18;0.1049;0,4;17,6
9/5/08;130;15,76;9,54;91,8;68,58;2,03;9,38;1,8;0;1,95;0.1086;6,5;4
10/5/08;131;10,01;7,73;92;85,3;3,29;4,37;13,2;7,84;1,06;0.1125;10,2;11,8
11/5/08;132;14,02;7,66;91,8;55,16;1,45;18,82;6,8;3,27;2,84;0.1164;3,7;5,4
12/5/08;133;16,76;4,91;93,1;49,65;1,55;17,89;6,8;3,27;2,96;0.1205;13,9;6,6
13/5/08;134;17,7;9,87;93,2;54,14;1,25;13,64;11;6,34;2,55;0.1246;2;0
14/5/08;135;17,5;10,81;93,4;58,37;2,19;12,57;4;1,03;2,58;0.1288;0,8;17,2
15/5/08;136;19,84;8,26;91,6;41,59;1,3;24,95;0;0;4,03;0.1331;17;0
16/5/08;137;18,97;10,34;92,1;49,1;1,84;19,19;13,2;7,88;3,44;0.1374;0;6,2
17/5/08;138;19,58;8,67;92,8;43,74;2,41;20,08;0,2;0;3,79;0.1417;6,3;0
18/5/08;139;18,17;6,59;94;45,89;2,17;16,58;12;7,05;3,17;0.1461;0,9;0
19/5/08;140;17,16;7,33;91,8;44,75;3,86;23,23;0,2;0;4;0.1505;0,6;0
20/5/08;141;19,77;5,32;91,7;32,2;3,49;26,84;0;0;4,91;0.1548;1,3;0
21/5/08;142;21,98;8,26;91,2;32,74;2,78;25,32;0;0;4,94;0.1592;1,1;0
22/5/08;143;22,45;9,81;91,2;37,36;2,6;26,34;0;0;4,98;0.1635;0;0
23/5/08;144;23,59;10,94;83,3;36,42;3,04;22,78;0;0;5,06;0.1679;0;0
24/5/08;145;20,51;8,33;89,1;33,34;3,08;24,19;0;0;4,76;0.1721;0;0
25/5/08;146;18,03;7,79;85,4;43,27;1,86;17,61;0;0;3,35;0.1763;3,9;0
26/5/08;147;18,03;9,2;86,3;36,56;1,5;23,02;0,6;0;3,9;0.1805;0;2,6
27/5/08;148;18,17;9,07;83,1;36,7;2,77;21,52;0,2;0;4,17;0.1845;7,3;0
28/5/08;149;17,56;9;85,8;47,17;2,3;18,48;0,6;0;3,47;0.1885;0;5,3
29/5/08;150;19,71;6,46;88,8;45,96;3,5;20,47;0;0;4,06;0.1924;0;18
30/5/08;151;19,63;9,81;91;43,13;1,65;17,66;2,6;0;3,44;0.1961;15,1;4,8
31/5/08;152;17,3;7,53;91,7;48,44;1,79;16,86;12,4;7,33;3,1;0.1998;12,5;8,3
1/6/08;153;17,24;5,65;92,4;61,73;1,88;14,74;7,8;4,03;2,64;0.2034;0;0
2/6/08;154;21,11;10,61;92,4;40,59;2,22;22,13;1;0;4,24;0.207;0;0
3/6/08;155;23,05;8,53;91;31,19;1,38;26,58;0;0;4,73;0.2105;1,3;0
4/6/08;156;23,66;11,01;86,4;32,6;1,6;21,48;0;0;4,4;0.2139;0;4
5/6/08;157;23,99;9,34;91,6;30,52;1,55;17,72;0;0;3,97;0.2173;0,8;0
6/6/08;158;24,05;6,99;92,9;22,4;1,88;30,24;0,2;0;5,54;0.2207;0;33,2
7/6/08;159;23,73;8,8;84,7;21,06;2,79;27,96;0;0;5,86;0.224;22,3;21,7
8/6/08;160;16,56;8,67;91,3;57,11;2,96;10,57;26;16,04;2,51;0.2273;19,6;0
