Fecha,J,Tmin,Tmax,Uz,Rs,lluvia,fc,pe_prevista_0_24h,pe_prevista_24_48h,ETo,ETc,Pe,Ks,RAW,DND,De_end,RSWC,fase,prioridad,pct_dnd,decision,plan_pulsos,deuda_mm,dias_sin_riego,riego_neto_programado_mm,riego_bruto_programado_mm,riego_neto_aplicado_mm,riego_bruto_aplicado_mm,perdidas_sistema_mm,eficiencia_riego
,99,8.62,20.4,2.6,23.17,0.0,0.0386,0.0,0.0,3.9484836835390755,1.990556470010656,0.0,1.0,44.206065265843705,1.990556470010656,3.979679260912648,0.6479545454545456,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.2938617055069264,1,0.0,0.0,0.0,0.0,0.0,0.9
,100,3.53,16.65,2.16,26.28,0.0,0.04,0.0,0.0,3.8098537935498955,1.9742997950294956,0.0,1.0,44.76058482580042,1.9742997950294956,4.93354524889308,0.6109588842760748,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.5771565722760985,2,0.0,0.0,0.0,0.0,0.0,0.9
,101,0.85,20.6,1.77,25.81,0.0,0.0415,0.0,0.0,3.8431913411289194,1.8663153545534885,0.0,1.0,44.62723463548433,1.8663153545534885,5.874496868796358,0.5744026607106166,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.790261552735866,3,0.0,0.0,0.0,0.0,0.0,0.9
,102,5.74,21.47,1.68,25.91,0.0,0.043,0.0,0.0,4.091124528372893,2.00831364921664,0.0,0.9610451648364872,43.63550188650843,2.00831364921664,6.886075587716655,0.5395432852572868,Floracion,0.194,65.0,POSPONER_DEUDA,null,5.095665424726682,4,0.0,0.0,0.0,0.0,0.0,0.9
,103,3.67,23.35,1.25,26.54,0.0,0.0446,0.0,0.0,4.091675822616002,1.9904040505113032,0.0,0.9253781343641955,43.633296709536,1.9904040505113032,7.900703965290701,0.5020390786116884,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 3.0, ""horas_por_pulso"": 3.33, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.17}",0.0,0,6.0,6.67,0.0,0.0,0.0,0.9
,104,5.21,26.9,1.66,26.61,0.0,0.0463,0.0,1.0500000000000003,4.802160381325146,2.6346092317680294,0.0,1.0,40.79135847469942,2.6346092317680294,3.125342899095873,0.4647762836107443,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.7124960006492191,1,0.0,0.0,6.0,6.67,0.67,0.9
,105,5.47,25.69,1.12,27.14,0.0,0.0481,0.0,0.0,4.374116867943517,2.349025633392465,0.0,1.0,42.50353252822593,2.349025633392465,4.231840314561998,0.6863656518763788,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.2393626623543215,2,0.0,0.0,0.0,0.0,0.0,0.9
,106,6.28,27.37,1.16,18.59,2.16,0.0499,0.0,0.0,3.6149209761808656,1.7386824439180337,0.0,1.0,45.54031609527654,1.7386824439180337,2.9520819141310524,0.643090004592707,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.369506250901043,3,0.0,0.0,0.0,0.0,0.0,0.9
,107,7.56,25.22,1.54,27.03,0.0,0.0518,0.0,0.0,4.545907689608154,2.2790909898663445,0.0,0.9901031032383749,41.816369241567386,2.2790909898663445,4.075807963666331,0.6591865268072524,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.93, ""horas_por_pulso"": 3.25, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 7.0}",0.0,0,5.86,6.51,0.0,0.0,0.0,0.9
,108,5.47,23.41,1.26,27.31,0.0,0.0538,0.0,0.0,4.303794651167733,2.2419402449642614,0.0,1.0,42.78482139532907,2.2419402449642614,1.0755195392064774,0.616812552918449,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.45726115922677,1,0.0,0.0,5.86,6.51,0.65,0.9
,109,3.53,23.41,1.23,27.73,0.0,0.0558,0.0,0.0,4.294343349751896,2.207822273175052,0.0,1.0,42.82262660099242,2.207822273175052,2.1432388524332247,0.7864313186177047,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.892345636790554,2,0.0,0.0,0.0,0.0,0.0,0.9
,110,5.74,17.53,2.1,15.74,0.0,0.0578,0.0,0.0,2.8394340291659397,1.2575923452376234,0.0,1.0,48.64226388333625,1.2575923452376234,2.815135295708099,0.7455432512398826,Floracion,0.194,65.0,POSPONER_DEUDA,null,3.7097806611950093,3,0.0,0.0,0.0,0.0,0.0,0.9
,111,3.33,22.81,1.98,27.13,0.0,0.0599,0.0,0.0,4.551787588105218,2.4646047033884906,0.0,1.0,41.79284964757913,2.4646047033884906,3.966357205855217,0.7217619778375752,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.66, ""horas_por_pulso"": 2.95, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.4}",0.0,0,5.32,5.91,0.0,0.0,0.0,0.9
,112,4.74,21.27,1.31,27.52,0.0,0.062,0.0,0.0,4.150836806301096,2.1088083628544947,0.0,1.0,43.39665277479562,2.1088083628544947,1.0261174027265538,0.6764319497980015,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.3707254358554215,1,0.0,0.0,5.32,5.91,0.59,0.9
,113,5.07,20.07,1.54,24.75,0.0,0.0642,0.0,0.0,3.973995199188823,2.1665897799751734,0.0,1.0,44.10401920324471,2.1665897799751734,2.032539533134692,0.8225150921398093,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.779008792839284,2,0.0,0.0,0.0,0.0,0.0,0.9
,114,-1.36,17.53,1.6,25.44,0.0,0.0664,0.0,0.0,3.6226999170764773,1.8887998790796827,0.0,1.0,45.509200331694096,1.8887998790796827,2.9350863475277933,0.7827094148412446,Floracion,0.194,65.0,POSPONER_DEUDA,null,4.006728714241078,3,0.0,0.0,0.0,0.0,0.0,0.9
,115,-1.97,19.13,1.51,27.94,0.0,0.0686,0.0,0.0,3.980745373698919,2.1250241854579146,0.0,1.0,44.07701850520432,2.1250241854579146,3.934509331878216,0.7478134736183222,Floracion,0.194,65.0,REGAR_COMPLETO,"{""num_pulsos"": 2, ""mm_por_pulso"": 2.69, ""horas_por_pulso"": 2.99, ""descanso_entre_pulsos_h"": 0.5, ""horas_totales_aprox"": 6.49}",0.007994434788722415,0,5.38,5.98,0.0,0.0,0.0,0.9
,116,1.19,19.53,0.96,16.26,0.0,0.0708,0.0,3.1500000000000004,2.7769164569405396,1.3592965795821867,0.0,1.0,48.892334172237845,1.3592965795821867,0.676261793743695,0.7086765834006467,Floracion,0.194,65.0,POSPONER_DEUDA,null,0.8915372115171438,1,0.0,0.0,5.38,5.98,0.6,0.9
,117,3.86,20.07,1.47,20.56,0.0,0.0731,0.0,0.0,3.4169919359342185,1.6747933153899128,0.0,1.0,46.332032256263126,1.6747933153899128,1.508240528263264,0.8575979122261544,Floracion,0.194,65.0,POSPONER_DEUDA,null,1.9801528665205872,2,0.0,0.0,0.0,0.0,0.0,0.9
,118,3.73,15.51,2.3,13.9,0.98,0.0754,0.0,1.7249999999999999,2.483707235405291,1.1233316049152406,0.0,1.0,50.065171058378844,1.1233316049152406,1.1169288999467155,0.8264114923174677,Floracion,0.194,65.0,POSPONER_DEUDA,null,2.7103184097154935,3,0.0,0.0,0.0,0.0,0.0,0.9
